iter	Passed	Remaining
411	4292	6126
412	4303	6116
413	4316	6109
414	4326	6098
415	4336	6087
416	4346	6077
417	4358	6068
418	4368	6057
419	4379	6047
420	4390	6038
421	4399	6025
422	4409	6015
423	4420	6004
424	4428	5991
425	4437	5979
426	4448	5969
427	4457	5957
428	4466	5945
429	4477	5935
430	4487	5924
431	4495	5911
432	4504	5898
433	4514	5887
434	4524	5876
435	4534	5865
436	4545	5855
437	4554	5844
438	4565	5833
439	4575	5822
440	4583	5810
441	4594	5799
442	4603	5788
443	4612	5776
444	4623	5766
445	4633	5756
446	4643	5744
447	4653	5733
448	4665	5725
449	4674	5713
450	4685	5703
451	4696	5693
452	4707	5684
453	4721	5678
454	4732	5669
455	4745	5660
456	4755	5650
457	4766	5640
458	4779	5632
459	4791	5624
460	4803	5615
461	4814	5606
462	4827	5599
463	4839	5590
464	4852	5582
465	4862	5572
466	4875	5564
467	4887	5556
468	4897	5545
469	4908	5535
470	4919	5525
471	4932	5517
472	4942	5506
473	4952	5495
474	4963	5485
475	4974	5475
476	4983	5464
477	4993	5452
478	5003	5442
479	5012	5430
480	5021	5417
481	5031	5406
482	5039	5394
483	5049	5383
484	5059	5372
485	5069	5361
486	5079	5351
487	5089	5339
488	5099	5328
489	5108	5317
490	5118	5306
491	5133	5299
492	5144	5290
493	5154	5279
494	5165	5270
495	5177	5261
496	5188	5251
497	5198	5240
498	5211	5232
499	5222	5222
500	5233	5212
501	5245	5203
502	5256	5193
503	5267	5183
504	5278	5173
505	5287	5162
506	5299	5152
507	5311	5144
508	5321	5132
509	5331	5122
510	5343	5113
511	5352	5101
512	5361	5089
513	5371	5079
514	5381	5067
515	5390	5055
516	5400	5045
517	5410	5034
518	5419	5022
519	5430	5012
520	5440	5001
521	5449	4990
522	5459	4979
523	5467	4966
524	5475	4954
525	5486	4943
526	5497	4933
527	5506	4922
528	5515	4911
529	5525	4900
530	5536	4889
531	5546	4878
532	5555	4867
533	5564	4856
534	5573	4844
535	5583	4833
536	5593	4822
537	5604	4812
538	5613	4801
539	5621	4789
540	5631	4777
541	5641	4767
542	5651	4756
543	5659	4743
544	5670	4734
545	5680	4723
546	5688	4710
547	5697	4699
548	5708	4689
549	5717	4677
550	5726	4666
551	5735	4655
552	5744	4643
553	5753	4631
554	5764	4621
555	5774	4611
556	5784	4600
557	5796	4591
558	5806	4580
559	5817	4570
560	5828	4560
561	5837	4549
562	5848	4539
563	5860	4530
564	5869	4519
565	5879	4508
566	5891	4499
567	5902	4488
568	5912	4478
569	5924	4468
570	5932	4457
571	5941	4446
572	5952	4435
573	5960	4423
574	5970	4413
575	5981	4402
576	5991	4392
577	5999	4380
578	6009	4369
579	6019	4358
580	6028	4347
581	6037	4336
582	6046	4325
583	6056	4314
584	6066	4303
585	6076	4293
586	6085	4281
587	6095	4270
588	6106	4260
589	6116	4250
590	6126	4240
591	6135	4228
592	6145	4217
593	6155	4207
594	6166	4197
595	6177	4187
596	6187	4176
597	6197	4166
598	6207	4155
599	6216	4144
600	6227	4134
601	6236	4122
602	6244	4111
603	6255	4101
604	6265	4091
605	6275	4080
606	6285	4069
607	6295	4058
608	6303	4047
609	6313	4036
610	6323	4025
611	6331	4014
612	6340	4003
613	6351	3992
614	6361	3982
615	6369	3970
616	6380	3960
617	6389	3949
618	6398	3938
619	6408	3927
620	6418	3917
621	6425	3904
622	6433	3893
623	6443	3882
624	6452	3871
625	6461	3860
626	6471	3849
627	6481	3839
628	6490	3828
629	6501	3818
630	6511	3807
631	6520	3797
632	6530	3786
633	6539	3775
634	6548	3764
635	6558	3753
636	6568	3742
637	6579	3733
638	6590	3723
639	6600	3712
640	6609	3701
641	6618	3690
642	6628	3679
643	6637	3669
644	6646	3658
645	6656	3647
646	6665	3636
647	6675	3626
648	6685	3615
649	6696	3605
650	6706	3595
651	6715	3584
652	6725	3573
653	6733	3562
654	6743	3552
655	6754	3542
656	6766	3532
657	6776	3522
658	6787	3512
659	6797	3501
660	6809	3492
661	6818	3481
662	6826	3469
663	6837	3459
664	6847	3449
665	6856	3438
666	6865	3427
667	6875	3417
668	6884	3406
669	6893	3395
670	6902	3384
671	6912	3374
672	6920	3362
673	6930	3351
674	6940	3341
675	6950	3331
676	6960	3320
677	6970	3310
678	6980	3300
679	6990	3289
680	7000	3279
681	7008	3267
682	7017	3256
683	7027	3246
684	7036	3235
685	7046	3225
686	7056	3214
687	7067	3205
688	7077	3194
689	7088	3184
690	7098	3174
691	7107	3163
692	7116	3152
693	7126	3142
694	7135	3131
695	7145	3120
696	7155	3110
697	7166	3100
698	7178	3091
699	7187	3080
700	7197	3070
701	7207	3059
702	7217	3049
703	7227	3038
704	7238	3028
705	7249	3018
706	7259	3008
707	7270	2998
708	7280	2988
709	7291	2978
710	7302	2968
711	7311	2957
712	7322	2947
713	7334	2937
714	7344	2927
715	7354	2916
716	7365	2907
717	7376	2897
718	7387	2887
719	7397	2876
720	7408	2866
721	7420	2857
722	7431	2847
723	7441	2836
724	7453	2827
725	7466	2817
726	7478	2808
727	7488	2797
728	7498	2787
729	7508	2777
730	7517	2766
731	7527	2756
732	7537	2745
733	7548	2735
734	7559	2725
735	7570	2715
736	7580	2705
737	7591	2695
738	7601	2684
739	7611	2674
740	7621	2663
741	7630	2653
742	7639	2642
743	7650	2632
744	7661	2622
745	7670	2611
746	7680	2601
747	7689	2590
748	7699	2580
749	7708	2569
750	7717	2558
751	7728	2548
752	7740	2539
753	7750	2528
754	7761	2518
755	7772	2508
756	7781	2497
757	7792	2487
758	7802	2477
759	7814	2467
760	7823	2456
761	7832	2446
762	7842	2436
763	7853	2425
764	7863	2415
765	7872	2404
766	7881	2394
767	7891	2383
768	7900	2373
769	7910	2362
770	7921	2352
771	7931	2342
772	7941	2332
773	7951	2321
774	7961	2311
775	7972	2301
776	7982	2290
777	7992	2280
778	8003	2270
779	8012	2259
780	8021	2249
781	8033	2239
782	8043	2229
783	8053	2218
784	8063	2208
785	8075	2198
786	8084	2188
787	8093	2177
788	8102	2166
789	8112	2156
790	8123	2146
791	8134	2136
792	8144	2125
793	8156	2116
794	8167	2105
795	8177	2095
796	8188	2085
797	8198	2075
798	8208	2064
799	8217	2054
800	8227	2044
801	8236	2033
802	8246	2023
803	8255	2012
804	8263	2001
805	8273	1991
806	8282	1980
807	8293	1970
808	8303	1960
809	8313	1950
810	8323	1939
811	8331	1928
812	8342	1918
813	8353	1908
814	8361	1898
815	8372	1887
816	8382	1877
817	8391	1867
818	8400	1856
819	8411	1846
820	8421	1836
821	8432	1825
822	8441	1815
823	8451	1805
824	8460	1794
825	8471	1784
826	8480	1773
827	8489	1763
828	8499	1753
829	8507	1742
830	8516	1732
831	8527	1721
832	8536	1711
833	8545	1700
834	8556	1690
835	8567	1680
836	8578	1670
837	8589	1660
838	8600	1650
839	8612	1640
840	8621	1630
841	8631	1619
842	8641	1609
843	8651	1599
844	8660	1588
845	8672	1578
846	8685	1568
847	8694	1558
848	8704	1548
849	8715	1538
850	8725	1527
851	8736	1517
852	8747	1507
853	8760	1497
854	8772	1487
855	8782	1477
856	8792	1467
857	8804	1457
858	8814	1446
859	8825	1436
860	8837	1426
861	8847	1416
862	8857	1406
863	8866	1395
864	8877	1385
865	8887	1375
866	8897	1364
867	8907	1354
868	8917	1344
869	8927	1333
870	8938	1323
871	8947	1313
872	8957	1303
873	8966	1292
874	8976	1282
875	8984	1271
876	8994	1261
877	9004	1251
878	9014	1240
879	9023	1230
880	9033	1220
881	9042	1209
882	9051	1199
883	9061	1189
884	9071	1178
885	9080	1168
886	9092	1158
887	9102	1148
888	9110	1137
889	9120	1127
890	9131	1117
891	9141	1106
892	9151	1096
893	9159	1086
894	9168	1075
895	9176	1065
896	9186	1054
897	9196	1044
898	9205	1034
899	9215	1023
900	9225	1013
901	9234	1003
902	9244	993
903	9255	982
904	9263	972
905	9273	962
906	9283	951
907	9292	941
908	9302	931
909	9312	920
910	9321	910
911	9330	900
912	9338	889
913	9348	879
914	9358	869
915	9366	858
916	9377	848
917	9385	838
918	9395	828
919	9406	817
920	9415	807
921	9425	797
922	9435	787
923	9444	776
924	9454	766
925	9462	756
926	9470	745
927	9481	735
928	9490	725
929	9502	715
930	9510	704
931	9520	694
932	9530	684
933	9540	674
934	9550	663
935	9559	653
936	9567	643
937	9576	632
938	9585	622
939	9596	612
940	9605	602
941	9615	592
942	9624	581
943	9634	571
944	9645	561
945	9656	551
946	9666	541
947	9678	530
948	9689	520
949	9698	510
950	9708	500
951	9719	490
952	9729	479
953	9740	469
954	9750	459
955	9759	449
956	9770	439
957	9782	428
958	9792	418
959	9800	408
960	9810	398
961	9821	387
962	9832	377
963	9845	367
964	9857	357
965	9867	347
966	9877	337
967	9888	326
968	9899	316
969	9910	306
970	9920	296
971	9930	286
972	9942	275
973	9954	265
974	9963	255
975	9974	245
976	9984	235
977	9994	224
978	10005	214
979	10016	204
980	10027	194
981	10037	183
982	10048	173
983	10057	163
984	10067	153
985	10078	143
986	10087	132
987	10098	122
988	10108	112
989	10119	102
990	10129	91
991	10140	81
992	10150	71
993	10160	61
994	10172	51
995	10182	40
996	10191	30
997	10202	20
998	10211	10
999	10220	0
