iter	RMSE
0	23.01547558
1	22.23784914
2	21.55068268
3	20.95732943
4	20.44392497
5	19.99183078
6	19.61087639
7	19.27371752
8	18.98240269
9	18.73303237
10	18.5128666
11	18.32701582
12	18.16108388
13	18.02617633
14	17.90973824
15	17.80251374
16	17.71578857
17	17.63809651
18	17.57499496
19	17.51660901
20	17.46833557
21	17.42682187
22	17.39083701
23	17.35375158
24	17.32201281
25	17.29671295
26	17.27042401
27	17.24793849
28	17.22922189
29	17.20867842
30	17.19291519
31	17.17716095
32	17.16460563
33	17.15340157
34	17.14088001
35	17.12851729
36	17.11578704
37	17.10660832
38	17.09344558
39	17.08439302
40	17.07511743
41	17.0681552
42	17.06104514
43	17.05516167
44	17.04994596
45	17.04387925
46	17.03546802
47	17.0308936
48	17.02099282
49	17.01461575
50	17.00781096
51	17.00123436
52	16.9971317
53	16.99117902
54	16.9868267
55	16.97928952
56	16.9753044
57	16.96932715
58	16.96452284
59	16.95994312
60	16.95567457
61	16.95146535
62	16.94716694
63	16.94372782
64	16.93944156
65	16.93582508
66	16.93182238
67	16.9272989
68	16.92396338
69	16.92121836
70	16.91901552
71	16.9143152
72	16.91179655
73	16.90734623
74	16.90283638
75	16.90001469
76	16.89514204
77	16.89168668
78	16.88810362
79	16.88457678
80	16.88059193
81	16.87793938
82	16.87533095
83	16.87222857
84	16.8696789
85	16.86730694
86	16.86394543
87	16.86084769
88	16.856576
89	16.85308047
90	16.84930035
91	16.8475714
92	16.84486475
93	16.84114038
94	16.83803912
95	16.83549938
96	16.8335171
97	16.83067306
98	16.82874075
99	16.82684803
100	16.82333195
101	16.82062493
102	16.81836552
103	16.81531773
104	16.81263333
105	16.8106803
106	16.80620553
107	16.80413489
108	16.80168349
109	16.79870156
110	16.79566336
111	16.79309141
112	16.78967314
113	16.78672796
114	16.7850784
115	16.78263312
116	16.78038787
117	16.7779062
118	16.77570081
119	16.77347238
120	16.77011541
121	16.76882964
122	16.76617244
123	16.76455744
124	16.76297533
125	16.76068142
126	16.75828602
127	16.75631117
128	16.75296086
129	16.75088038
130	16.74859482
131	16.74618333
132	16.74409262
133	16.74251916
134	16.74113301
135	16.73880626
136	16.73716623
137	16.73501395
138	16.73316093
139	16.73089834
140	16.72916156
141	16.72721974
142	16.72528545
143	16.72324889
144	16.71988394
145	16.71901282
146	16.71726098
147	16.71553683
148	16.71426227
149	16.71249863
150	16.71106868
151	16.70873674
152	16.70710181
153	16.70474074
154	16.70320605
155	16.70095827
156	16.69787481
157	16.69600383
158	16.69451356
159	16.69243293
160	16.69115133
161	16.68908141
162	16.68670785
163	16.68361596
164	16.68139732
165	16.67970316
166	16.67814656
167	16.67629488
168	16.67399291
169	16.67149214
170	16.67015165
171	16.66769991
172	16.66489628
173	16.66352836
174	16.66170596
175	16.65952506
176	16.65813557
177	16.65600605
178	16.65413244
179	16.65250825
180	16.65075212
181	16.64872894
182	16.64774691
183	16.64526672
184	16.64314771
185	16.64098962
186	16.63905443
187	16.63773604
188	16.63600418
189	16.63515089
190	16.6325247
191	16.62963616
192	16.62721859
193	16.62504706
194	16.62356284
195	16.62181276
196	16.62033012
197	16.61826371
198	16.61699006
199	16.61537974
200	16.61374809
201	16.61223809
202	16.61080088
203	16.60897928
204	16.60718299
205	16.60551894
206	16.60393954
207	16.6020468
208	16.60046852
209	16.59830753
210	16.5960946
211	16.59415512
212	16.59211216
213	16.59004703
214	16.58878891
215	16.58765033
216	16.5857382
217	16.58449057
218	16.58281734
219	16.58175858
220	16.58026236
221	16.57842671
222	16.57709609
223	16.57515222
224	16.57367799
225	16.5716019
226	16.57020962
227	16.56826034
228	16.56661308
229	16.56533193
230	16.56366844
231	16.56180847
232	16.56078616
233	16.55935626
234	16.55747911
235	16.55543319
236	16.5541687
237	16.55290056
238	16.55151227
239	16.54960161
240	16.54729772
241	16.54623173
242	16.54427268
243	16.54319961
244	16.54161756
245	16.54033135
246	16.53899209
247	16.53672305
248	16.53525261
249	16.53318521
250	16.53196051
251	16.53035059
252	16.528983
253	16.5274315
254	16.526213
255	16.52460542
256	16.52240938
257	16.5213276
258	16.51999652
259	16.51829572
260	16.51659946
261	16.51528249
262	16.51346194
263	16.5118433
264	16.51085901
265	16.50942912
266	16.50802492
267	16.50720571
268	16.50600155
269	16.50496342
270	16.50374216
271	16.5020068
272	16.50106866
273	16.49974359
274	16.49819466
275	16.49718326
276	16.49571858
277	16.49472082
278	16.49330153
279	16.49157772
280	16.48975488
281	16.48839875
282	16.48698735
283	16.48535516
284	16.48381832
285	16.48284121
286	16.48172432
287	16.48041464
288	16.47948341
289	16.47856883
290	16.47731026
291	16.47578573
292	16.47410577
293	16.47301052
294	16.47102192
295	16.46872459
296	16.46774804
297	16.46555244
298	16.46407421
299	16.46297909
300	16.46075732
301	16.45960944
302	16.45821802
303	16.45701394
304	16.45567135
305	16.45476773
306	16.45357035
307	16.45159885
308	16.45060439
309	16.44940979
310	16.44863393
311	16.44729155
312	16.44565167
313	16.44446667
314	16.44298928
315	16.44132137
